slug,name_en,name_ja,note_en,verified
loxoprofen,Loxoprofen,ロキソプロフェンナトリウム水和物,An anti-inflammatory painkiller (NSAID). Not sold over the counter in Australia.,FALSE
paracetamol,Paracetamol,アセトアミノフェン,The same ingredient as in Panadol. Japanese boxes write it as acetaminophen.,FALSE
ibuprofen,Ibuprofen,イブプロフェン,The same ingredient as in Nurofen.,FALSE
aspirin,Aspirin,アセチルサリチル酸,The same ingredient as in Aspro. Japanese boxes write it as acetylsalicylic acid.,FALSE
famotidine,Famotidine,ファモチジン,The same ingredient as in Pepcid.,FALSE
fexofenadine,Fexofenadine,フェキソフェナジン塩酸塩,The same ingredient as in Telfast.,FALSE
allylisopropylacetylurea,Allylisopropylacetylurea,アリルイソプロピルアセチル尿素,A sedative added to some painkillers. Not used in Australian medicines.,FALSE
anhydrous-caffeine,Anhydrous caffeine,無水カフェイン,,FALSE
synthetic-hydrotalcite,Synthetic hydrotalcite,合成ヒドロタルサイト,An antacid added to protect the stomach.,FALSE
guaifenesin,Guaifenesin,グアイフェネシン,Loosens mucus.,FALSE
dihydrocodeine,Dihydrocodeine phosphate,ジヒドロコデインリン酸塩,An opioid cough suppressant. Codeine-type medicines are prescription-only in Australia.,FALSE
methylephedrine,dl-Methylephedrine hydrochloride,dl-メチルエフェドリン塩酸塩,A decongestant. Banned in competition under WADA rules.,FALSE
chlorpheniramine,Chlorpheniramine maleate,クロルフェニラミンマレイン酸塩,An older antihistamine. Can cause drowsiness.,FALSE
riboflavin,Riboflavin,リボフラビン,Vitamin B2. May turn your urine bright yellow.,FALSE
wood-creosote,Wood creosote,木クレオソート,A plant-derived ingredient used for diarrhoea. Not the same as industrial creosote.,FALSE
gambir,Gambir,アセンヤク末,A plant extract.,FALSE
phellodendron-bark,Phellodendron bark,オウバク末,A plant extract.,FALSE
licorice,Licorice root,カンゾウ末,A plant extract.,FALSE
citrus-peel,Citrus unshiu peel,チンピ末,A plant extract.,FALSE
diphenhydramine,Diphenhydramine,ジフェンヒドラミン,An antihistamine. Applied to the skin in this product.,FALSE
l-menthol,l-Menthol,l-メントール,Produces a cooling sensation.,FALSE
dl-camphor,dl-Camphor,dl-カンフル,Produces a cooling sensation.,FALSE
glycyrrhetinic-acid,Glycyrrhetinic acid,グリチルレチン酸,Reduces inflammation.,FALSE
isopropylmethylphenol,Isopropylmethylphenol,イソプロピルメチルフェノール,An antiseptic.,FALSE
neostigmine,Neostigmine methylsulfate,メチル硫酸ネオスチグミン,Helps the focusing muscle of the eye.,FALSE
tetrahydrozoline,Tetrahydrozoline hydrochloride,テトラヒドロゾリン塩酸塩,Reduces redness in the eye.,FALSE
taurine,Taurine,アミノエチルスルホン酸（タウリン）,,FALSE
potassium-aspartate,Potassium L-aspartate,L-アスパラギン酸カリウム,,FALSE
aminocaproic-acid,Aminocaproic acid,イプシロン-アミノカプロン酸,Reduces inflammation.,FALSE
